CBSA_CODE,CBSA_NAME,LATITUDE,LONGITUDE
25775,"Henderson, KY Micro Area",37.677139,-87.626242                                                                                                            
25770,"Hemlock Farms, PA Micro Area",41.325949,-75.031514                                                                                                        
25780,"Henderson, NC Micro Area",36.365481,-78.405434                                                                                                              
25850,"Hermitage, PA Micro Area",41.300014,-80.252786                                                                                                            
25860,"Hickory-Lenoir-Morganton, NC Metro Area",35.814295,-81.456584                                                                                            
25980,"Hinesville, GA Metro Area",31.778788,-81.57648                                                                                                           
26090,"Holland, MI Micro Area",42.421251,-86.261403                                                                                                          
26300,"Hot Springs, AR Metro Area",34.578852,-93.146932                                                                                                         
26420,"Houston-Pasadena-The Woodlands, TX Metro Area",29.801005,-95.34262                                                                                  
26460,"Hudson, NY Micro Area",42.247696,-73.626718                                                                                                               
26500,"Huntingdon, PA Micro Area",40.422311,-77.968595                                                                                                           
26540,"Huntington, IN Micro Area",40.826394,-85.478597                                                                                                             
26580,"Huntington-Ashland, WV-KY-OH Metro Area",38.357487,-82.579994                                                                                            
26620,"Huntsville, AL Metro Area",34.783262,-86.734871                                                                                                         
26660,"Huntsville, TX Micro Area",30.743163,-95.569825                                                                                                           
26780,"Hutchinson, MN Micro Area",44.821657,-94.272323                                                                                                            
26820,"Idaho Falls, ID Metro Area",43.620423,-112.420919                                                                                                      
26860,"Indiana, PA Micro Area",40.651432,-79.087545                                                                                                               
26900,"Indianapolis-Carmel-Greenwood, IN Metro Area",39.790533,-86.12426                                                                                        
26980,"Iowa City, IA Metro Area",41.517806,-91.64793                                                                                                            
27020,"Iron Mountain, MI-WI Micro Area",45.947705,-88.08097                                                                                                     
27060,"Ithaca, NY Metro Area",42.453006,-76.473483                                                                                                               
27140,"Jackson, MS Metro Area",32.426311,-90.136422                                                                                                           
27260,"Jacksonville, FL Metro Area",30.234184,-81.756033                                                                                                     
27300,"Jacksonville, IL Micro Area",39.69395,-90.285047                                                                                                           
27380,"Jacksonville, TX Micro Area",31.843881,-95.156343                                                                                                         
27500,"Janesville-Beloit, WI Metro Area",42.66988,-89.075284                                                                                                       
27600,"Jefferson, GA Micro Area",34.130905,-83.562557                                                                                                               
27620,"Jefferson City, MO Metro Area",38.636885,-92.088876                                                                                                       
27700,"Jesup, GA Micro Area",31.547845,-81.912376                                                                                                                  
27740,"Johnson City, TN Metro Area",36.265822,-82.332693                                                                                                          
27780,"Johnstown, PA Metro Area",40.510209,-78.710488                                                                                                             
27860,"Jonesboro, AR Metro Area",35.696978,-90.650175                                                                                                           
27900,"Joplin, MO-KS Metro Area",37.092135,-94.500651                                                                                                            
28020,"Kalamazoo-Portage, MI Metro Area",42.246266,-85.532854                                                                                                    
28100,"Kankakee, IL Metro Area",41.13951,-87.861117                                                                                                                 
28140,"Kansas City, MO-KS Metro Area",38.931857,-94.443841                                                                                                   
28300,"Keene, NH Micro Area",42.92546,-72.248183                                                                                                                 
28340,"Kendallville, IN Micro Area",41.404679,-85.417271                                                                                                           
28420,"Kennewick-Richland, WA Metro Area",46.364155,-119.254927                                                                                                
28450,"Kenosha, WI Metro Area",42.587526,-87.879996                                                                                                            
28500,"Kerrville, TX Micro Area",30.059953,-99.353339                                                                                                             
28580,"Key West-Key Largo, FL Micro Area",25.58612,-81.022603                                                                                               
28620,"Kill Devil Hills, NC Micro Area",35.606269,-75.767536                                                                                                  
28680,"Kingsland, GA Micro Area",30.913358,-81.642019                                                                                                          
28700,"Kingsport-Bristol, TN-VA Metro Area",36.604161,-82.440145                                                                                                
28740,"Kingston, NY Metro Area",41.947212,-74.265458                                                                                                            
28780,"Kingsville, TX Micro Area",27.438735,-97.66062                                                                                                          
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",41.575274,-74.033873                                                                                   
28940,"Knoxville, TN Metro Area",36.044462,-84.136114                                                                                                         
29020,"Kokomo, IN Metro Area",40.483537,-86.114118                                                                                                                  
29060,"Laconia, NH Micro Area",43.519109,-71.425366                                                                                                               
29100,"La Crosse-Onalaska, WI-MN Metro Area",43.698264,-91.11014                                                                                                
29180,"Lafayette, LA Metro Area",30.012961,-92.136552                                                                                                        
29200,"Lafayette-West Lafayette, IN Metro Area",40.482153,-87.017112                                                                                              
29300,"LaGrange, GA-AL Micro Area",32.970298,-85.24416                                                                                                          
29340,"Lake Charles, LA Metro Area",30.038451,-93.190093                                                                                                     
29380,"Lake City, FL Micro Area",30.221651,-82.623371                                                                                                             
29460,"Lakeland-Winter Haven, FL Metro Area",27.953686,-81.693493                                                                                             
29470,"Lake of the Woods, VA Micro Area",38.249326,-78.011092                                                                                                       
29620,"Lansing-East Lansing, MI Metro Area",42.713659,-84.605372                                                                                                
29720,"Lares, PR Micro Area",18.276925,-66.869587                                                                                                                     
29740,"Las Cruces, NM Metro Area",32.349919,-106.834968                                                                                                          
29780,"Las Vegas, NM Micro Area",35.644067,-104.863027                                                                                                         
29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",36.21413,-115.014398                                                                              
29860,"Laurel, MS Micro Area",31.825465,-89.148054                                                                                                               
29900,"Laurinburg, NC Micro Area",34.840023,-79.477337                                                                                                               
29940,"Lawrence, KS Metro Area",38.896417,-95.290947                                                                                                             
29980,"Lawrenceburg, TN Micro Area",35.220476,-87.396546                                                                                                            
30020,"Lawton, OK Metro Area",34.529113,-98.430902                                                                                                              
30140,"Lebanon, PA Metro Area",40.371448,-76.464819                                                                                                                 
30180,"Le Mars, IA Micro Area",42.737615,-96.215973                                                                                                                 
30260,"Lewisburg, PA Micro Area",40.962179,-77.055475                                                                                                                
30280,"Lewisburg, TN Micro Area",35.468329,-86.765868                                                                                                               
30340,"Lewiston-Auburn, ME Metro Area",44.167681,-70.207435                                                                                                      
30460,"Lexington-Fayette, KY Metro Area",38.102876,-84.438545                                                                                                   
30500,"Lexington Park, MD Metro Area",38.312696,-76.527935                                                                                                    
30620,"Lima, OH Metro Area",40.771627,-84.106103                                                                                                                  
30660,"Lincoln, IL Micro Area",40.129277,-89.365309                                                                                                                
30700,"Lincoln, NE Metro Area",40.817429,-96.868801                                                                                                              
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",34.755773,-92.400589                                                                             
30820,"Lock Haven, PA Micro Area",41.239508,-77.629009                                                                                                             
31020,"Longview-Kelso, WA Metro Area",46.196785,-122.67846                                                                                                      
31060,"Los Alamos, NM Micro Area",35.870047,-106.307968                                                                                                               
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.108703,-118.182753                                                                                 
31140,"Louisville/Jefferson County, KY-IN Metro Area",38.224363,-85.701989                                                                                    
31180,"Lubbock, TX Metro Area",33.469794,-101.880412                                                                                                            
31300,"Lumberton, NC Micro Area",34.63921,-79.100881                                                                                                                
31420,"Macon-Bibb County, GA Metro Area",32.856216,-83.714305                                                                                                    
31540,"Madison, WI Metro Area",43.083846,-89.597745                                                                                                            
31680,"Malvern, AR Micro Area",34.315177,-92.944147                                                                                                                
31700,"Manchester-Nashua, NH Metro Area",42.911532,-71.723055                                                                                                    
31860,"Mankato, MN Metro Area",44.15479,-94.147798                                                                                                               
31900,"Mansfield, OH Metro Area",40.774159,-82.542781                                                                                                             
31930,"Marietta, OH Micro Area",39.450676,-81.490636                                                                                                              
31940,"Marinette, WI-MI Micro Area",45.435279,-87.769216                                                                                                     
32000,"Marion, NC Micro Area",35.682268,-82.048045                                                                                                                
32020,"Marion, OH Micro Area",40.588034,-83.168803                                                                                                                  
32060,"Marion-Herrin, IL Micro Area",37.730353,-88.930018                                                                                                          
32280,"Martin, TN Micro Area",36.303596,-88.721194                                                                                                                 
32420,"Mayagüez, PR Metro Area",18.01917,-67.166597                                                                                                             
32460,"Mayfield, KY Micro Area",36.723344,-88.649897                                                                                                              
32580,"McAllen-Edinburg-Mission, TX Metro Area",26.396384,-98.18099                                                                                              
32740,"Meadville, PA Micro Area",41.687876,-80.107795                                                                                                           
32780,"Medford, OR Metro Area",42.411621,-122.675611                                                                                                            
32820,"Memphis, TN-MS-AR Metro Area",35.010307,-89.820503                                                                                                    
32860,"Menomonie, WI Micro Area",44.947751,-91.897645                                                                                                            
32900,"Merced, CA Metro Area",37.194806,-120.722802                                                                                                            
33020,"Mexico, MO Micro Area",39.214481,-91.843418                                                                                                                 
33060,"Miami, OK Micro Area",36.835764,-94.802681                                                                                                                
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",26.101828,-80.478755                                                                          
33140,"Michigan City-La Porte, IN Metro Area",41.549013,-86.744739                                                                                               
33180,"Middlesborough, KY Micro Area",36.728928,-83.680718                                                                                                          
33220,"Midland, MI Metro Area",43.648203,-84.379414                                                                                                               
33260,"Midland, TX Metro Area",32.092359,-101.994539                                                                                                              
33340,"Milwaukee-Waukesha, WI Metro Area",42.912643,-87.862312                                                                                              
33380,"Minden, LA Micro Area",32.732152,-93.339825                                                                                                               
33420,"Mineral Wells, TX Micro Area",32.752204,-98.317967                                                                                                        
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.096664,-93.275361                                                                              
33620,"Moberly, MO Micro Area",39.439249,-92.492959                                                                                                               
33660,"Mobile, AL Metro Area",30.684572,-88.196568                                                                                                            
33700,"Modesto, CA Metro Area",37.562316,-121.002831                                                                                                             
33740,"Monroe, LA Metro Area",32.67396,-92.058318                                                                                                              
33780,"Monroe, MI Metro Area",41.916097,-83.487106                                                                                                             
33860,"Montgomery, AL Metro Area",32.365631,-86.404585                                                                                                         
33900,"Monticello, IN Micro Area",40.75095,-86.864293                                                                                                               
33910,"Monticello, NY Micro Area",41.719993,-74.771577                                                                                                            
33980,"Morehead City, NC Micro Area",34.858343,-76.53586                                                                                                      
34100,"Morristown, TN Metro Area",36.115484,-83.376546                                                                                                          
34140,"Moscow, ID Micro Area",46.81892,-116.730974                                                                                                                
34180,"Moses Lake, WA Micro Area",47.213633,-119.467788                                                                                                         
34300,"Mountain Home, ID Micro Area",43.394698,-115.471205                                                                                                      
34340,"Mount Airy, NC Micro Area",36.415416,-80.686463                                                                                                            
34380,"Mount Pleasant, MI Micro Area",43.645233,-84.839424                                                                                                          
34460,"Mount Sterling, KY Micro Area",38.039616,-83.747734                                                                                                         
34540,"Mount Vernon, OH Micro Area",40.40362,-82.422393                                                                                                           
34580,"Mount Vernon-Anacortes, WA Metro Area",48.493292,-121.81577                                                                                            
34620,"Muncie, IN Metro Area",40.227543,-85.399262                                                                                                                   
34680,"Murrells Inlet, SC Micro Area",33.417531,-79.296333                                                                                                     
34700,"Muscatine, IA Micro Area",41.483776,-91.118699                                                                                                             
34740,"Muskegon-Norton Shores, MI Metro Area",43.428739,-86.420908                                                                                             
34780,"Muskogee, OK Micro Area",35.617551,-95.383911                                                                                                              
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",33.909269,-78.976675                                                                            
34900,"Napa, CA Metro Area",38.5071,-122.325904                                                                                                                 
34940,"Naples-Marco Island, FL Metro Area",26.118786,-81.400955                                                                                              
